symbol,community
MTCP1,105
NAMPT,1
NSMCE4A,166
PIK3CB,2
PIK3CD,2
PLEKHO1,105
PNPLA3,105
POFUT1,105
POLR1B,1
SETDB1,96
SH3RF1,534
SNAI1,11
SNX27,45
STEAP4,105
TCL1A,105
TCL1B,17
TMED2,210
TTC3,105
UBE2O,64
USP9Y,105
VIM,1
WDR26,28
XIAP,13
AKT3,105
AKT1,18
Btbd10,105
HSP90AA4P,105
HSP90AA5P,105
HSP90AB3P,105
HSP90AB4P,105
Kctd20,105
PRMT6,131
SNX8,138
ALDH1B1,1
DHRS4,8
ESD,93
FABP2,1
FEM1B,287
HEXB,1
PDCD10,19
PGM1,1
SRP68,1
SUFU,476
UQCRB,8
XPNPEP1,1
ALDH3A2,1
ARFGEF1,25
ATP6V1C1,1
BRAT1,1
CAND2,256
EIF4G3,1
FANCD2,1
HEATR1,72
HOOK2,115
INTS1,72
INTS12,72
INTS3,165
IPO13,256
KIAA1524,1
LTN1,25
NCAPH2,102
SAAL1,159
SMEK2,203
STAG2,132
TBC1D15,1
TBC1D9B,446
TSC2,7
VPS8,115
XPO4,25
ALDH9A1,1
ACAT2,1
CIAPIN1,1
HCVgp1,12
ALG10B,578
KCNH2,578
NPLOC4,1
TRAFD1,578
ALG2,71
ANXA11,229
ANXA7,91
LAMP1,13
PLSCR3,112
SEC31A,1
SHISA5,71
TSG101,71
VPS28,71
VPS37A,71
ALKBH4,550
DTX2,550
EP300,5
HSF4,550
MTMR6,550
PSMA6,10
ZFHX3,550
ALS2,469
C21orf2,469
NEK1,469
RBM6,55
AMFR,10
ADRB2,1
AIFM1,1
ATP2A2,1
AUP1,162
BAG6,1
BRI3BP,4
CCDC47,1
CD3D,182
CRMP1,91
CSE1L,1
CYP2E1,379
CYP3A4,10
DERL1,1
DERL2,107
DERL3,10
DHFR,1
ERLIN1,1
ERLIN2,182
FAF2,1
GET4,315
GPI,1
HAX1,275
HERPUD1,107
HMGCR,182
HSP90B1,1
HTT,5
INSIG1,182
KIAA1715,392
KPNB1,1
MGRN1,9
MYH10,7
OS9,107
OSBPL8,4
PDIA2,106
PRNP,1
PSMA1,10
PSMA2,10
PSMA3,10
PSMA5,10
PSMB1,10
PSMB2,10
PSMB3,10
PSMB4,10
PSMB5,10
PSMB6,10
PSMB7,10
PSMD14,10
PSMD3,10
PSMD6,10
PSME4,10
RHOT1,297
RNF5,9
RPL5,1
SEC61B,25
SEL1L,107
SRPRB,92
SYVN1,107
TIMM50,67
TMUB1,152
TRIM25,1
TRIM28,215
UBAC2,1
UBC,1
UBE2G1,372
Ube2g2,372
UBE2G2,1
UBE2K,9
UBL4A,1
UFD1L,1
USP13,1
VCP,1
AMMECR1,349
ADAMTSL4,42
CALCOCO2,130
CLP1,349
EFEMP2,240
GFER,349
HNRNPF,1
KRTAP10-1,42
KRTAP10-3,42
KRTAP10-8,42
MEOX2,220
PPIL4,55
RBPMS,44
TENC1,73
TRIM27,35
TSEN54,349
ZNF507,243
ZNF703,349
AMMECR1L,414
FNTA,414
MACF1,1
PGGT1B,414
ANAPC16,47
ANAPC7,47
CDC26,47
ANGEL2,206
ANKFY1,224
CAMSAP3,224
ERAL1,129
KIAA1033,224
MICALL1,7
RHOD,413
RHOF,562
VPS35,138
ANKHD1,342
NFKBIE,342
NOD2,13
ZNF346,1
ANKIB1,444
KPNA2,1
ANKMY2,293
AARS,1
ADCY3,4
ADCY6,293
ARFGEF2,25
ARIH1,58
FKBP8,10
GUCY1A3,293
GUCY1B3,291
HSF1,16
KANSL3,293
KIF5C,463
KLHL26,58
PBDC1,1
ANKRA2,368
CCAR2,1
CCDC8,1
CDK4,18
CUL7,1
FAM83B,368
GTF3C5,133
HDAC3,5
HDAC4,15
HDAC5,1
LMNA,1
LMNB2,1
LRP2,242
MPL,368
PDE3B,4
PHB2,1
PRDX2,1
RFX5,368
RFX7,368
RFXAP,368
SOGA1,368
